SalesKey,TransactionId,DateKey,TimeKey,CustomerKey,ShopKey,MenuItemKey,Quantity,UnitPrice,TotalAmount,LoyaltyPointsEarned,LoyaltyPointsRedeemed,PaymentMethod,Size,SourceSystem,CreatedAt
1,txn-000001,20250804,100900,191,13,16,1,5.75,5.75,4,1,Credit Card,Small,CosmosDB,2025-08-04 10:09:00.000
2,txn-000002,20250803,101500,193,4,4,4,3.50,14.00,3,0,Gift Card,Small,CosmosDB,2025-08-03 10:15:00.000
3,txn-000003,20250801,94800,403,13,7,1,3.25,3.25,3,2,Gift Card,Small,CosmosDB,2025-08-01 09:48:00.000
4,txn-000004,20250801,101000,125,20,18,1,6.25,6.25,0,0,Debit Card,Small,CosmosDB,2025-08-01 10:10:00.000
5,txn-000005,20250804,92700,143,15,3,3,4.25,12.75,4,1,Mobile Pay,Large,CosmosDB,2025-08-04 09:27:00.000
6,txn-000006,20250804,60000,38,19,18,4,7.00,28.00,3,0,Mobile Pay,Medium,CosmosDB,2025-08-04 06:00:00.000
7,txn-000007,20250802,152400,160,6,8,3,4.50,13.50,2,2,Mobile Pay,Large,CosmosDB,2025-08-02 15:24:00.000
8,txn-000008,20250803,71700,142,18,18,1,6.25,6.25,2,1,Credit Card,Small,CosmosDB,2025-08-03 07:17:00.000
9,txn-000009,20250803,55500,264,8,17,2,8.00,16.00,2,0,Gift Card,Medium,CosmosDB,2025-08-03 05:55:00.000
10,txn-000010,20250804,121900,110,5,2,4,3.25,13.00,5,3,Gift Card,Small,CosmosDB,2025-08-04 12:19:00.000
11,txn-000011,20250802,23800,101,5,17,3,7.25,21.75,1,1,Mobile Pay,Small,CosmosDB,2025-08-02 02:38:00.000
12,txn-000012,20250802,172400,203,8,11,2,3.75,7.50,4,3,Debit Card,Large,CosmosDB,2025-08-02 17:24:00.000
13,txn-000013,20250801,163400,410,19,8,2,4.50,9.00,4,1,Credit Card,Large,CosmosDB,2025-08-01 16:34:00.000
14,txn-000014,20250803,61100,134,3,12,3,4.25,12.75,1,2,Gift Card,Large,CosmosDB,2025-08-03 06:11:00.000
15,txn-000015,20250803,195700,170,4,20,4,4.50,18.00,5,1,Gift Card,Large,CosmosDB,2025-08-03 19:57:00.000
16,txn-000016,20250802,31500,76,16,4,3,4.75,14.25,5,1,Gift Card,Medium,CosmosDB,2025-08-02 03:15:00.000
17,txn-000017,20250801,155600,407,20,6,1,5.00,5.00,0,0,Gift Card,Medium,CosmosDB,2025-08-01 15:56:00.000
18,txn-000018,20250801,223500,311,9,10,3,3.75,11.25,1,0,Cash,Small,CosmosDB,2025-08-01 22:35:00.000
19,txn-000019,20250804,100100,163,7,10,4,5.50,22.00,2,3,Credit Card,Large,CosmosDB,2025-08-04 10:01:00.000
20,txn-000020,20250803,64900,364,19,18,1,7.75,7.75,3,1,Credit Card,Large,CosmosDB,2025-08-03 06:49:00.000
21,txn-000021,20250803,112300,449,10,12,4,3.25,13.00,0,0,Gift Card,Medium,CosmosDB,2025-08-03 11:23:00.000
22,txn-000022,20250803,162000,130,4,18,4,7.00,28.00,2,2,Gift Card,Medium,CosmosDB,2025-08-03 16:20:00.000
23,txn-000023,20250801,94500,158,4,18,2,7.75,15.50,2,2,Mobile Pay,Large,CosmosDB,2025-08-01 09:45:00.000
24,txn-000024,20250801,230100,163,10,1,4,5.00,20.00,5,2,Credit Card,Large,CosmosDB,2025-08-01 23:01:00.000
25,txn-000025,20250801,73500,20,6,10,1,4.50,4.50,5,2,Gift Card,Medium,CosmosDB,2025-08-01 07:35:00.000
26,txn-000026,20250803,31000,136,1,5,3,3.25,9.75,5,3,Cash,Small,CosmosDB,2025-08-03 03:10:00.000
27,txn-000027,20250803,220800,56,14,7,2,3.50,7.00,5,2,Debit Card,Small,CosmosDB,2025-08-03 22:08:00.000
28,txn-000028,20250801,221500,284,5,9,3,3.75,11.25,3,1,Debit Card,Small,CosmosDB,2025-08-01 22:15:00.000
29,txn-000029,20250801,120800,4,2,11,1,3.00,3.00,2,1,Credit Card,Medium,CosmosDB,2025-08-01 12:08:00.000
30,txn-000030,20250802,95300,408,1,5,3,4.50,13.50,1,0,Debit Card,Medium,CosmosDB,2025-08-02 09:53:00.000
31,txn-000031,20250801,71900,461,20,7,2,3.50,7.00,4,1,Credit Card,Small,CosmosDB,2025-08-01 07:19:00.000
32,txn-000032,20250804,84800,79,4,7,1,5.50,5.50,0,2,Debit Card,Large,CosmosDB,2025-08-04 08:48:00.000
33,txn-000033,20250803,75200,255,8,11,2,3.75,7.50,1,2,Gift Card,Large,CosmosDB,2025-08-03 07:52:00.000
34,txn-000034,20250802,82900,161,6,10,2,5.50,11.00,4,3,Mobile Pay,Large,CosmosDB,2025-08-02 08:29:00.000
35,txn-000035,20250803,172600,326,7,6,1,5.75,5.75,0,2,Mobile Pay,Large,CosmosDB,2025-08-03 17:26:00.000
36,txn-000036,20250802,5100,493,20,16,2,7.25,14.50,5,0,Cash,Large,CosmosDB,2025-08-02 00:51:00.000
37,txn-000037,20250803,15200,468,4,5,4,3.50,14.00,5,2,Credit Card,Small,CosmosDB,2025-08-03 01:52:00.000
38,txn-000038,20250801,83300,374,10,9,1,3.50,3.50,5,2,Mobile Pay,Small,CosmosDB,2025-08-01 08:33:00.000
39,txn-000039,20250802,3600,463,3,15,1,6.25,6.25,5,1,Gift Card,Large,CosmosDB,2025-08-02 00:36:00.000
40,txn-000040,20250801,114500,182,11,5,3,5.50,16.50,4,2,Debit Card,Large,CosmosDB,2025-08-01 11:45:00.000
41,txn-000041,20250801,222200,380,17,15,1,6.00,6.00,2,0,Debit Card,Large,CosmosDB,2025-08-01 22:22:00.000
42,txn-000042,20250802,111500,426,6,6,3,6.00,18.00,3,3,Credit Card,Large,CosmosDB,2025-08-02 11:15:00.000
