TransactionId,SalesKey,LineNumber,DateKey,TimeKey,CustomerId,ShopId,MenuItemId,Quantity,UnitPrice,LineTotal,PaymentMethod,Size,CreatedAt
txn-000001,1,1,20251002,75820,customer-029,shop-001,item-005,1,4.95,4.95,Mobile Pay,Large,2025-10-02T07:58:20Z
txn-000002,2,1,20250927,135650,customer-109,shop-002,item-017,1,3.25,3.25,Credit Card,Large,2025-09-27T13:56:50Z
txn-000003,3,1,20250923,34820,customer-108,shop-008,item-001,1,3.00,3.00,Cash,Small,2025-09-23T03:48:20Z
txn-000004,4,1,20251014,90412,customer-087,shop-004,item-012,1,5.50,5.50,Gift Card,Large,2025-10-14T09:04:12Z
txn-000005,5,1,20250813,85157,customer-250,shop-030,item-020,1,2.75,2.75,Credit Card,Medium,2025-08-13T08:51:57Z
txn-000006,6,1,20251015,72247,customer-075,shop-003,item-015,2,4.95,9.90,Credit Card,Large,2025-10-15T07:22:47Z
txn-000007,7,1,20251005,73716,customer-069,shop-023,item-006,1,4.50,4.50,Credit Card,Large,2025-10-05T07:37:16Z
txn-000007,7,2,20251005,73716,customer-069,shop-023,item-018,1,5.25,5.25,Credit Card,Medium,2025-10-05T07:37:16Z
txn-000008,8,1,20250924,74713,customer-057,shop-022,item-002,1,4.50,4.50,Credit Card,Medium,2025-09-24T07:47:13Z
txn-000009,9,1,20250925,73731,customer-225,shop-023,item-013,1,6.95,6.95,Debit Card,Small,2025-09-25T07:37:31Z
txn-000009,9,2,20250925,73731,customer-225,shop-023,item-015,1,3.50,3.50,Debit Card,Small,2025-09-25T07:37:31Z
txn-000010,10,1,20250911,201923,customer-230,shop-019,item-005,1,4.95,4.95,Mobile Pay,Large,2025-09-11T20:19:23Z
txn-000011,11,1,20250816,20845,customer-161,shop-006,item-013,1,6.95,6.95,Gift Card,Medium,2025-08-16T02:08:45Z
txn-000012,12,1,20250923,230635,customer-221,shop-001,item-018,1,5.95,5.95,Credit Card,Large,2025-09-23T23:06:35Z
txn-000012,12,2,20250923,230635,customer-221,shop-001,item-009,1,3.25,3.25,Credit Card,Medium,2025-09-23T23:06:35Z
txn-000013,13,1,20251010,25839,customer-068,shop-017,item-010,1,3.75,3.75,Cash,Small,2025-10-10T02:58:39Z
